"date","borough","direction","main_street","cross_street","type","truck_route","struck_overpass","state_of_operators_license","bin","latitude","longitude","geocoded_column"
"2021-08-26T00:00:00.000","BRONX","N/B","HENRY HUDSON PARKWAY","WEST 239th STREET","STRIKE","NO","YES","NC","2229470","40.889358","-73.908774","POINT (-73.908774 40.889358)"
"2022-03-23T00:00:00.000","BRONX","N/B","HENRY HUDSON PARKWAY","WEST 239th STREET","STRIKE","NO","YES","CT","2229470","40.889358","-73.908774","POINT (-73.908774 40.889358)"
"2020-05-13T00:00:00.000","QUEENS","S/B","CROSS ISLAND PARKWAY","GRAND CENTRAL PARKWAY","STRIKE","NO","YES","IL","1076600","40.743484","-73.732009","POINT (-73.732009 40.743484)"
"2022-09-01T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2021-09-13T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 61st STREET","STRIKE","NO","YES","N/A","2233040","40.759554","-73.957941","POINT (-73.957941 40.759554)"
"2019-06-11T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","17th AVENUE","STRIKE","NO","YES","NY","2231290","40.601674","-74.011772","POINT (-74.011772 40.601674)"
"2015-05-22T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","MA","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2022-06-26T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","17th AVENUE","STRIKE","NO","YES","N/A","2231290","40.601674","-74.011772","POINT (-74.011772 40.601674)"
"2013-04-03T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2014-11-22T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 62nd STREET","STRIKE","NO","YES","N/A","2233038","40.760213","-73.957473","POINT (-73.957473 40.760213)"
"2021-01-02T00:00:00.000","QUEENS","S/B","CROSS ISLAND PARKWAY","UNION TURNPIKE","STRIKE","NO","YES","N/A","2231850","40.740870","-73.726832","POINT (-73.726832 40.74087)"
"2013-08-26T00:00:00.000","BROOKLYN","N/B","3rd AVENUE","EAST 18th STREET","STRIKE","YES","YES","N/A","106531H","40.665661","-73.996024","POINT (-73.996024 40.665661)"
"2018-05-08T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY",,"STRIKE","NO","YES","TX",,,,
"2020-03-23T00:00:00.000","QUEENS","W/B","JACKIE ROBINSON PARKWAY","METROPOLITAN AVENUE","STRIKE","NO","YES","PA","2230179","40.708939","-73.841745","POINT (-73.841745 40.708939)"
"2021-04-07T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","CONEY ISLAND AVENUE","STRIKE","NO","YES","MD","2231610","40.584609","-73.960352","POINT (-73.960352 40.584609)"
"2014-12-11T00:00:00.000","QUEENS","N/B","CROSS ISLAND PARKWAY","SUPERIOR ROAD","STRIKE","NO","YES","N/A","2231800","40.720565","-73.725604","POINT (-73.725604 40.720565)"
"2014-03-28T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","NC","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2014-11-12T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","IL","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2017-11-22T00:00:00.000","QUEENS",,"SHEA ROAD","ROOSEVELT AVENUE","STRIKE","NO","YES","N/A","2267160","40.752929","-73.851261","POINT (-73.851261 40.752929)"
"2016-05-04T00:00:00.000","BROOKLYN","W/B","BROOKLYN QUEENS EXPRESSWAY","69th STREET","STRIKE","YES","YES","NY","2230550","40.749883","-73.897232","POINT (-73.897232 40.749883)"
"2014-08-29T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","BAY 16th STREET","STRIKE","NO","NO","N/A","2231290","40.601279","-74.011265","POINT (-74.011265 40.601279)"
"2016-06-22T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
