"date","league_name","borough","asset_number"
"2017-04-07T00:00:00.000","East Harlem Little League","M","AED - 0062"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0325"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0361"
"2017-05-22T00:00:00.000","Castle Hill Little League","X","AED - 0200"
"2017-05-15T00:00:00.000","Oval Community Youth Program","X","AED - 0375"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0049"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0351"
"2017-05-19T00:00:00.000","New York Grays Baseball Club","X","AED - 0321"
"2017-04-29T00:00:00.000","Interparish Sports Association, Inc","B","AED - 0224"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 2050"
"2017-05-25T00:00:00.000","Mosholu Mostefiore C.C.","X","AED - 0372"
"2017-05-22T00:00:00.000","Castle Hill Little League","X","AED - 0406"
"2017-05-12T00:00:00.000","Richmond Amatuer Sports Associacion","Q","AED - 0368"
"2017-05-15T00:00:00.000","Caribe Baseball Little League","X","AED - 0365"
"2017-08-15T00:00:00.000","PPBA/Holy Name Father's Guild","B","AED - 0337"
"2017-05-25T00:00:00.000","Mosholu Mostefiore C.C.","X","AED - 0363"
"2017-03-01T00:00:00.000","College Point Little League","Q","AED - 0388"
"2017-07-12T00:00:00.000","Bronx Elite","X","AED - 0334"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0332"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0327"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0409"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0283"
"2017-03-27T00:00:00.000","Peter Stuyvesant Little League","M","AED - 0146"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 0556"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0320"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0339"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0326"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0314"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0359"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0221"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1491"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0288"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 0266"
"2017-03-01T00:00:00.000","OLBS CYO","Q","AED - 1587"
"2017-05-12T00:00:00.000","Richmond Amatuer Sports Associacion","Q","AED - 0316"
"2017-03-01T00:00:00.000","Jamaica Estates Holliswood Briarwood Little League","Q","AED - 0616"
"2017-03-29T00:00:00.000","Harlem RBI","M","AED - 0152"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0329"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 2056"
,"NYC PARKS","R","AED - 2078"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 2047"
"2017-05-12T00:00:00.000","Richmond Amatuer Sports Associacion","Q","AED - 0371"
"2017-03-31T00:00:00.000","Hank Greenberg Little League","X","AED - 0354"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0181"
"2017-03-31T00:00:00.000","Jaws Little League","X","AED - 0333"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 0313"
"2017-03-02T00:00:00.000","Hector ONeal Sport","M","AED - 0182"
"2017-06-13T00:00:00.000","Bedford Stuyvesant Sluggers Baseball League","B","AED - 0293"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 2046"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 0282"
"2017-05-15T00:00:00.000","Caribe Baseball Little League","X","AED - 0197"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 0317"
"2017-05-08T00:00:00.000","Far Rockaway RBI","Q","AED - 0315"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0360"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0203"
"2017-08-15T00:00:00.000","PPBA/Holy Name Father's Guild","B","AED - 0318"
"2017-04-15T00:00:00.000","Youth Service League, Inc.","B","AED - 0145"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0340"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0330"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0208"
"2017-03-31T00:00:00.000","Jaws Little League","X","AED - 0362"
"2017-05-22T00:00:00.000","Liga Juan Mendozu","M","AED - 2068"
"2017-03-31T00:00:00.000","Jaws Little League","X","AED - 0353"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0872"
"2017-06-16T00:00:00.000","Inwood-Manhattan Little League","M","AED - 0285"
"2017-05-12T00:00:00.000","UNION Little League","X","AED - 0383"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0189"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","AED - 1969"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1245"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1592"
"2017-03-23T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1225"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1234"
"2017-03-27T00:00:00.000","Peter Stuyvesant Little League","M","AED - 0128"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0903"
"2017-04-04T00:00:00.000","Bulldog Ball Club","M","AED - 0025"
"2017-04-27T00:00:00.000","Good Shepherd Sports","B","AED - 0139"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0183"
"1900-01-03T00:00:00.000","RGMVM LL","Q","AED - 0376"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1637"
"2017-03-01T00:00:00.000","St. Adalbert CYO baseball league","Q","AED - 1572"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1661"
"2017-03-23T00:00:00.000","Bayside Little League","Q","AED - 1248"
"2017-03-04T00:00:00.000","Amity Little League","B","AED - 1447"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1266"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1082"
"2017-04-21T00:00:00.000","Downtown Manhattan Little League","M","AED - 0148"
"2017-03-31T00:00:00.000","Good Shepherd Sports","B","AED - 1442"
,"NYC PARKS","M",
"2017-03-01T00:00:00.000","Glen Oaks Little League","Q","AED - 0429"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0335"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","AED - 1622"
"2017-05-19T00:00:00.000","New York Grays Baseball Club","X","AED - 0358"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0366"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1313"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1270"
"2017-02-28T00:00:00.000","St. Patrick Baseball","B","AED - 0531"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","AED - 1503"
"2017-02-28T00:00:00.000","Joe Torre East Highway Little League","B","AED - 1322"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1611"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0919"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 1691-S"
"2017-04-07T00:00:00.000","East Harlem Little League","M","AED - 1295"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 0575"
,"NYC PARKS","M","AED - 1364-S"
"2017-03-23T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0579"
