"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_kwh","kwh_charges","consumption_kw","kw_charges","other_charges"
"PARK ROCK REHAB","BROOKLYN","PARK ROCK REHAB","BLD 03","NONE",,"351","765","K035100","FEDERAL","NY005013510P","NEW YORK POWER AUTHORITY","12243856","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4219616","N","383.79","GOV/NYC/062","Yes","1116","87.55","0","0","296.24"
"NEW LANE AREA","STATEN ISLAND","NEW LANE AREA","BLD 01","NONE","APT 01D - Resident Association Office","314","306","S031400","FEDERAL","NY005010350P","NEW YORK POWER AUTHORITY","12243904","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9903299","N","57.74","GOV/NYC/062","Yes","168","13.18","0","0","44.56"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 7, 737 MELROSE AVE","BLD 07","NONE",,,"999","1011700","NON-DEVELOPMENT","NDF","NEW YORK POWER AUTHORITY","12242953","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","13903926","N","196.65","GOV/NYC/062","Yes","571","44.79","0","0","151.86"
"BUSHWICK II (GROUPS A & C)","BROOKLYN","BUSHWICK II (GROUPS A & C)","BLD 20","NONE","BLD 20","302","565","K030200","FEDERAL","NY005012470P","NEW YORK POWER AUTHORITY","12243788","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2820908","N","850.4","GOV/NYC/062","Yes","2484","194.87","0","0","655.53"
"EAST NEW YORK CITY LINE","BROOKLYN","EAST NEW YORK CITY LINE","BLD 01","NONE",,"263","378","K026300","FEDERAL","NY005010700P","NEW YORK POWER AUTHORITY","12243659","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9486441","N","2578.26","GOV/NYC/069","Yes","15320","802.61","32.4","347.65","1428"
"MARLBORO","BROOKLYN","MARLBORO","BLD 20","AMR",,"83","426","K008300","MIXED FINANCE/LLC1","NY005020830P","NEW YORK POWER AUTHORITY","12243556","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788545","N","3120.75","GOV/NYC/068","Yes","29440","1486.98","0","0","1633.77"
"SOUTH BRONX AREA (SITE 402)","BRONX","SOUTH BRONX AREA (SITE 402)","BLD 04","NONE",,"305","550","B030500","FEDERAL","NY005013420P","NEW YORK POWER AUTHORITY","12242988","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14332431","N","1184.82","GOV/NYC/069","Yes","9288","486.6","12.24","131.34","566.88"
"SOUTH BRONX AREA (SITE 402)","BRONX","SOUTH BRONX AREA (SITE 402)","BLD 01","NONE","APT 01A - Maintenance Shop","305","550","B030500","FEDERAL","NY005013420P","NEW YORK POWER AUTHORITY","12243126","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4309702","N","151.13","GOV/NYC/062","Exception","444","34.83","0","0","116.3"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 18","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1788045","N","203.02","GOV/NYC/068","Yes","0","0","17.14","203.02","0"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 24","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1788083","N","253.24","GOV/NYC/068","Yes","0","0","21.38","253.24","0"
