"site_id","planned_kiosk_type","installation_status_","ppt_id","legacy_id","borough","council_district","cb","final_submission_a_","gf_permit_appl_id","gf_doitt_submitted_to_cb_a","gf_cb_comment_period_ends_a","street_address","cross_street_1","cross_street_2","ixn_code","postcode","zoningnumb","longitude","latitude","greenfield_in_bid_location","bid","historic_district","historic_district_name","neighborhood_tabulation_area_nta","bin","bbl","census_tract","location_1"
"QU-01-GF44792","LINK5G_Ad","Planning",,,"Queens","26","401","2022-08-09T00:00:00.000","90339",,,"22-09 QUEENS PLAZA NORTH","Queens Plaza N","41st Ave","East","11101","M1-5","-73.9425724","40.7521201","Yes","Long Island City","0",,"Queensbridge-Ravenswood-Long Island City","4004978","3004120001","qu-33","(40.7521201, -73.9425724)"
"QU-13-115284","LINK5G_Ad","PreCx","115284","75028","Queens","31","413","2022-08-09T00:00:00.000","19633","2022-11-16T00:00:00.000",,"138-89 FRANCIS LEWIS BOULEVARD","Francis Lewis Blvd","138th Ave","E","11422","C1-3","-73.7366105","40.6668975","No",,"0",,"Rosedale","4284715","4132560010","4063800","(40.6668975, -73.7366105)"
"BK-03-144136","LINK5G_Ad","Live","144136","LINK-002343","Brooklyn","41","303","2022-05-13T00:00:00.000",,,,"1986 FULTON STREET","FULTON STREET","HERKIMER STREET","E","11233","C2-4","-73.9189999","40.6785723","No",,"0",,"Ocean Hill","3042094","3015490001","3030100","(40.6785723, -73.9189999)"
"MN-03-139615","LINK5G_Ad","PreCx","139615","LINK-012562","Manhattan","2","103","2022-09-23T00:00:00.000","90310","2023-01-04T00:00:00.000",,"23 3 AVENUE","ASTOR PLACE","STUYVESANT STREET","E","10003","C6-3","-73.9896901","40.7296398","Yes","Village Alliance BID","0",,"East Village","1089443","1004640001","MH-42","(40.7296398, -73.9896901)"
"MN-12-GF0873","LINK5G_NonAd","PreCx",,,"Manhattan","10","112","2022-08-09T00:00:00.000","90245","2022-10-18T00:00:00.000",,"689 FT WASHINGTON AVENUE","CABRINI BOULEVARD","FORT WASINGTON AVENUE","N","10040","R7-2","-73.9363867","40.8573541","No",,"0",,"Washington Heights North","1064372","1021790500","MH-273","(40.8573541, -73.9363867)"
"QU-02-GF44781","LINK5G_Ad","Planning",,,"Queens","26","402","2022-08-09T00:00:00.000","90412","2023-01-04T00:00:00.000",,"1-50 50 AVENUE","51ST AVENUE","50TH AVENUE","East","11101","R10 / C2-5","-73.9596154","40.7432517","No",,"0",,"Hunters Point-Sunnyside-West Maspeth","4541370","4000067502","qu-1","(40.7432517, -73.9596154)"
"BK-04-127501","LINK5G_Ad","Live","127501","14173","Brooklyn","37","304","2022-01-28T00:00:00.000",,,,"160 WYCKOFF AVENUE","HARMAN STREET","HIMROD STREET","S","11237","C1-3","-73.9164953","40.7025384","No",,"0",,"Bushwick North","3074548","3032700038","3044300","(40.7025384, -73.9164953)"
"BK-06-GF34902","LINK5G_NonAd","PreCx",,,"Brooklyn","38","306","2022-08-09T00:00:00.000","90315","2023-01-04T00:00:00.000",,"44 FERRIS STREET","SULLIVAN STREET","WOLCOTT STREET","W","11231","M2-1","-74.0151821","40.6796566","No",,"0",,"Carroll Gardens-Columbia Street-Red Hook","3008522","3005140001","bk-53","(40.6796566, -74.0151821)"
"QU-12-GF44695","LINK5G_Ad","Planning",,,"Queens","24","412","2022-09-23T00:00:00.000","90430","2022-11-17T00:00:00.000",,"145-04 JAMAICA AVENUE","145 STREET","146 STREET","South","11435","C2-4","-73.8098486","40.7019047","No",,"0",,"Jamaica","4206733","4099850010","QU-240","(40.7019047, -73.8098486)"
"QU-12-GF44717","LINK1.0","Planning",,,"Queens","24","412","2022-09-23T00:00:00.000","90441","2022-11-17T00:00:00.000",,"139-19 ARCHER AVENUE","143 STREET","139 STREET","N","11435","C4-4","-73.8107489","40.6996044","No",,"0",,"Jamaica","4213862","4099840017","QU-212","(40.6996044, -73.8107489)"
