"link_site_id","planned_kiosk_type","link_installation_status","smallest_ppt","cb_link_id","boro","council_district","community_board","street_address","cross_street_1","cross_street_2","ixn_corner","postcode","zoning","latitude","longitude","link_installation","link_smoke_tested_and_activated_a","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","location"
"mn-03-137407","LINK5G_Ad","Live","137407","1435","Manhattan","1","103","5 ST. JAMES PLACE","AVENUE OF THE FINEST","PEARL STREET","MIDBLOCK","10038","C1-5","40.7109549","-74.0003838","2022-09-01T00:00:00.000","2022-10-27T00:00:00.000","Chinatown","1077416","1001110100","1002500","(40.7109549, -74.0003838)"
"bx-05-119573","LINK1.0","Live","119573","bx-05-119573","Bronx","14","205","2454 WALTON AVENUE","EAST FORDHAM ROAD","EAST 184 STREET","SE","10468","C4-4","40.862313290000000","-73.900314040000000","2016-08-27T00:00:00.000","2016-09-15T00:00:00.000","Fordham South","2014027","2031840039","2023900","(40.86231329, -73.90031404)"
"qu-02-145743","LINK1.0","Live","145743","LINK-018161","Queens","26","402","45-01 42 STREET","QUEENS BOULEVARD","47 AVENUE","SE","11104","C1-4","40.743312290000000","-73.922401240000000","2017-02-25T00:00:00.000","2017-03-20T00:00:00.000","Hunters Point-Sunnyside-West Maspeth","4540182","4001690022","4018102","(40.74331229, -73.92240124)"
"bk-16-126635","LINK1.0","Live","126635","bk-16-126635","Brooklyn","41","316","2057 FULTON STREET","ROCKAWAY AVENUE","THOMAS BOYLAND STREET","NW","11233","C2-3","40.678354000000000","-73.911008000000000","2016-11-11T00:00:00.000","2016-12-09T00:00:00.000","Ocean Hill","3041999","3015410001","3037100","(40.678354, -73.911008)"
"mn-05-121632","LINK1.0","Live","121632","mn-05-121632","Manhattan","4","105","21 EAST 31 STREET","MADISON AVENUE","5 AVENUE","NW","10016","C5-2","40.745985980000000","-73.984492190000000","2016-11-19T00:00:00.000","2016-12-09T00:00:00.000","Midtown-Midtown South","1080785","1008610015","1007400","(40.74598598, -73.98449219)"
"bk-01-145856","LINK1.0","Live","145856","LINK-020775","Brooklyn","34","301","119 GRAHAM AVENUE","BOERUM STREET","MCKIBBIN STREET","SW","11206","C1-3","40.705768000000000","-73.943030000000000","2017-06-27T00:00:00.000","2017-08-10T00:00:00.000","East Williamsburg","3071340","3030790020","3050500","(40.705768, -73.94303)"
"mn-11-120226","LINK1.0","Live","120226","mn-11-120226","Manhattan","8","111","1882 3 AVENUE","EAST 104 STREET","EAST 105 STREET","NW","10029","C1-5","40.790401000000000","-73.945683000000000","2016-05-21T00:00:00.000","2016-06-15T00:00:00.000","East Harlem South","1051965","1016320033","1016600","(40.790401, -73.945683)"
"mn-08-120985","LINK1.0","Live","120985","mn-08-120985","Manhattan","4","108","170 EAST 69 STREET","3 AVENUE","LEXINGTON AVENUE","SW","10065","C1-9","40.767854890000000","-73.962254640000000","2016-02-27T00:00:00.000","2016-03-29T00:00:00.000","Upper East Side-Carnegie Hill","1042479","1014030033","1012000","(40.76785489, -73.96225464)"
"bk-04-159465","LINK1.0","Live","159465",,"Brooklyn","37","304","471 WILSON AVENUE","JEFFERSON AVENUE","CORNELIA STREET","NE","11221","C2-3","40.6928989","-73.9118924","2022-07-30T00:00:00.000","2022-11-22T00:00:00.000","Bushwick North","3077622","3033840001","435","(40.6928989, -73.9118924)"
"qu-12-141542","LINK1.0","Live","141542","qu-12-141542","Queens","27","412","160-12 JAMAICA AVENUE","161 STREET","UNION HALL STREET","MIDBLOCK","11433","C6-3","40.703928400000000","-73.798470280000000","2016-12-20T00:00:00.000","2017-02-03T00:00:00.000","Jamaica","4215614","4101010003","4044601","(40.7039284, -73.79847028)"
