"dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"B02914","2017-10-15T02:04:45.000","2017-10-15 02:24:08",,,
"B02914","2017-10-15T02:33:36.000","2017-10-15 02:54:12",,,
"B02914","2017-10-15T02:17:43.000","2017-10-15 02:39:13",,,
"B02914","2017-10-15T02:44:24.000","2017-10-15 03:02:04",,,
"B02914","2017-10-15T02:42:31.000","2017-10-15 03:09:26",,,
"B02914","2017-10-15T02:08:14.000","2017-10-15 02:39:20",,,
"B02914","2017-10-15T02:21:51.000","2017-10-15 02:44:55",,,
"B02884","2017-10-15T02:47:52.000","2017-10-15 03:02:58","170","33",
"B02884","2017-10-15T02:08:14.000","2017-10-15 02:28:45","32","223",
"B02884","2017-10-15T02:42:22.000","2017-10-15 03:21:44","260","265",
"B02884","2017-10-15T02:14:35.000","2017-10-15 02:44:49","148","48","1"
"B02884","2017-10-15T02:14:38.000","2017-10-15 02:28:28","148","79","1"
"B02884","2017-10-15T02:21:09.000","2017-10-15 02:40:23","79","68","1"
"B02884","2017-10-15T02:54:07.000","2017-10-15 03:07:05","100","162",
"B02884","2017-10-15T02:42:24.000","2017-10-15 03:17:35","4","61","1"
"B02884","2017-10-15T02:59:44.000","2017-10-15 03:26:40","232","225","1"
"B02884","2017-10-15T02:04:30.000","2017-10-15 02:33:53","145","76",
"B02884","2017-10-15T02:40:38.000","2017-10-15 03:00:53","76","61",
"B02888","2017-10-15T02:52:39.000","2017-10-15 03:20:30","114","225",
"B02888","2017-10-15T02:22:18.000","2017-10-15 02:27:19","41","24",
"B02888","2017-10-15T02:51:09.000","2017-10-15 03:02:41","243","241",
"B02888","2017-10-15T02:19:48.000","2017-10-15 02:40:26","25","77",
"B02888","2017-10-15T02:48:31.000","2017-10-15 03:03:20","45","234",
"B02888","2017-10-15T02:10:31.000","2017-10-15 02:26:47","114","261",
"B02888","2017-10-15T02:35:44.000","2017-10-15 02:43:11","231","249",
"B02888","2017-10-15T02:46:01.000","2017-10-15 02:56:06","158","48",
